cityLabel,population,countryLabel,gps,longitude,latitude
Wuzhou,3101000,People's Republic of China,Point(111.316667 23.483333),111.32,23.48
Tongliao,3094600,People's Republic of China,Point(122.26398 43.61723),122.26,43.62
Guangyuan,3074000,People's Republic of China,Point(105.83985 32.43529),105.84,32.44
Jaipur,3073350,India,Point(75.866666666 26.916666666),75.87,26.92
Ningde,3030000,People's Republic of China,Point(119.516666666 26.666666666),119.52,26.67
Giza,3021542,Egypt,Point(31.21 30.01),31.21,30.01
Meishan,3020000,People's Republic of China,Point(103.83806 30.05746),103.84,30.06
Mashhad,3001184,Iran,Point(59.604166666 36.306944444),59.60,36.31
Jinzhou,3000000,People's Republic of China,Point(121.129166666 41.114444444),121.13,41.11
Tieling,3000000,People's Republic of China,Point(123.83654 42.28407),123.84,42.28
Shanwei,2990000,People's Republic of China,Point(115.333056 22.766389),115.33,22.77
Sana'a,2957000,Yemen,Point(44.2 15.35),44.20,15.35
Liupanshui,2955000,People's Republic of China,Point(104.83333 26.59444),104.83,26.59
Liupanshui,2955000,People's Republic of China,Point(104.833333 26.594444),104.83,26.59
Xinzhou,2950000,People's Republic of China,Point(112.7233 38.41778),112.72,38.42
Quezon City,2936116,Philippines,Point(121.033333333 14.633333333),121.03,14.63
Kiev,2934522,Ukraine,Point(30.523611111 50.45),30.52,50.45
Salvador,2921087,Brazil,Point(-38.510833333 -12.970833333),-38.51,-12.97
Xiangtan,2916000,People's Republic of China,Point(112.92283 27.84306),112.92,27.84
Incheon,2913024,South Korea,Point(126.648611111 37.463888888),126.65,37.46
Kiev,2907684,Ukraine,Point(30.523611111 50.45),30.52,50.45
Daqing,2904532,People's Republic of China,Point(125.00798 46.59791),125.01,46.60
Bursa,2901396,Turkey,Point(29.066666666 40.183333333),29.07,40.18
Buenos Aires,2890151,Argentina,Point(-58.381944444 -34.599722222),-58.38,-34.60
Nanping,2890000,People's Republic of China,Point(118.17282 26.64481),118.17,26.64
Chongqing,2890000,People's Republic of China,Point(106.506944444 29.55),106.51,29.55
Kadapa,2884524,India,Point(78.816666666 14.466666666),78.82,14.47
Faisalabad,2880675,Pakistan,Point(73.079 31.418),73.08,31.42
Rome,2873494,Italy,Point(12.482777777 41.893055555),12.48,41.89
Pyongyang,2863000,North Korea,Point(125.73 39.03),125.73,39.03
Jingmen City,2839000,People's Republic of China,Point(112.211388888 31.038055555),112.21,31.04
Zigong,2800000,People's Republic of China,Point(104.764514 29.349842),104.76,29.35
Qinhuangdao,2800000,People's Republic of China,Point(119.58812 39.93978),119.59,39.94
Mudanjiang,2790000,People's Republic of China,Point(129.599722 44.586111),129.60,44.59
Brasília,2789761,Brazil,Point(-47.882777777 -15.793888888),-47.88,-15.79
Huludao,2787000,People's Republic of China,Point(120.837777777 40.709444444),120.84,40.71
Kaohsiung City,2777384,Taiwan,Point(120.3 22.616667),120.30,22.62
Longyan,2770000,People's Republic of China,Point(117.024444 25.088056),117.02,25.09
Toronto,2731571,Canada,Point(-79.4 43.7),-79.40,43.70
Taichung,2731056,Taiwan,Point(120.666666666 24.15),120.67,24.15
Chicago,2722389,United States of America,Point(-87.65 41.9),-87.65,41.90
Ōsaka,2713157,Japan,Point(135.501944444 34.693611111),135.50,34.69
Kanpur,2701324,India,Point(80.331111111 26.4725),80.33,26.47
Baotou,2700000,People's Republic of China,Point(109.83454 40.65621),109.83,40.66
Taipei,2684567,Taiwan,Point(121.633333333 25.033333333),121.63,25.03
Guayaquil,2644891,Ecuador,Point(-79.883333333 -2.183333333),-79.88,-2.18
Hohhot,2635000,People's Republic of China,Point(111.66293 40.81507),111.66,40.82
Chongqing,2634492,People's Republic of China,Point(106.506944444 29.55),106.51,29.55
Antananarivo,2610000,Madagascar,Point(47.521388888 -18.938611111),47.52,-18.94
Weihai,2596753,People's Republic of China,Point(122.1 37.5),122.10,37.50
Santo Domingo,2581827,Dominican Republic,Point(-69.893333333 18.476388888),-69.89,18.48
Chittagong,2581643,Bangladesh,Point(91.816666666 22.316666666),91.82,22.32
Xuancheng,2580000,People's Republic of China,Point(118.75178 30.94751),118.75,30.95
Huzhou,2570000,People's Republic of China,Point(120.09581 30.86945),120.10,30.87
Chaozhou,2566000,People's Republic of China,Point(116.63 23.67),116.63,23.67
Hulunbuir,2549000,People's Republic of China,Point(119.75097 49.21534),119.75,49.22
Vespasiano,2513451,Brazil,Point(-43.947777777 -19.891666666),-43.95,-19.89
Lishui,2510000,People's Republic of China,Point(119.916666666 28.45),119.92,28.45
Medellín,2508452,Colombia,Point(-75.574827777 6.244747222),-75.57,6.24
Xianning,2506000,People's Republic of China,Point(114.32882 29.83411),114.33,29.83
Dubai,2502715,United Arab Emirates,Point(55.309444444 25.269722222),55.31,25.27
Luohe,2500000,People's Republic of China,Point(114.0109 33.58299),114.01,33.58
Lusaka,2467467,Zambia,Point(28.283333333 -15.416666666),28.28,-15.42
Daegu,2461002,South Korea,Point(128.6 35.866666666),128.60,35.87
Fortaleza,2452185,Brazil,Point(-38.588888888 -3.781388888),-38.59,-3.78
Baoshan,2450000,People's Republic of China,Point(99.16905 25.12105),99.17,25.12
Douala,2446945,Cameroon,Point(9.7 4.05),9.70,4.05
Yaounde,2440462,Cameroon,Point(11.518055555 3.857777777),11.52,3.86
Tashkent,2424100,Uzbekistan,Point(69.266666666 41.3),69.27,41.30
Cali,2420013,Colombia,Point(-76.519722222 3.44),-76.52,3.44
Huangshi,2419000,People's Republic of China,Point(115.03262 30.20178),115.03,30.20
Huainan,2409000,People's Republic of China,Point(117.016389 32.483056),117.02,32.48
Nagpur,2405665,India,Point(79.083055555 21.153888888),79.08,21.15
Dandong,2400000,People's Republic of China,Point(124.383333333 40.116666666),124.38,40.12
Dandong,2400000,People's Republic of China,Point(124.39472 40.12917),124.39,40.13
Chongqing,2400000,People's Republic of China,Point(106.506944444 29.55),106.51,29.55
Omdurman,2395159,Sudan,Point(32.462887 15.683517),32.46,15.68
Ghaziabad,2381452,India,Point(77.416666666 28.666666666),77.42,28.67
Bekasi,2381053,Indonesia,Point(107.0 -6.233333333),107.00,-6.23
Lincang,2368000,People's Republic of China,Point(100.0871 23.88643),100.09,23.89
Jiamusi,2360000,People's Republic of China,Point(130.36531 46.80808),130.37,46.81
Yangjiang,2357000,People's Republic of China,Point(111.96778 21.86505),111.97,21.87
Nagoya,2314125,Japan,Point(136.933333333 35.116666666),136.93,35.12
Fushun,2300000,People's Republic of China,Point(123.89173 41.87085),123.89,41.87
Accra,2291352,Ghana,Point(-0.187 5.6037),-0.19,5.60
Brisbane,2274560,Australia,Point(153.027777777 -27.467777777),153.03,-27.47
Laibin,2272000,People's Republic of China,Point(109.233333333 23.733333333),109.23,23.73
Yuxi,2264000,People's Republic of China,Point(102.54317 24.34953),102.54,24.35
Ürümqi,2262786,People's Republic of China,Point(87.6 43.825),87.60,43.83
Yingkou,2220000,People's Republic of China,Point(122.22972 40.66525),122.23,40.67
Sanmenxia,2213000,People's Republic of China,Point(111.19497 34.77362),111.19,34.77
Paris,2206488,France,Point(2.351827777 48.856577777),2.35,48.86
